idDip,urlPerf,fullName,apellido,nombre,estado,bloque,provincia,afirmativos,negativos,abstenciones,ausencias,presidencias
A51233,https://votaciones.hcdn.gob.ar/diputado/1808,"AMERI, Juan Emilio",AMERI, Juan Emilio,En actividad,Frente de Todos,Salta,27,-,-,-,-
A4072,https://votaciones.hcdn.gob.ar/diputado/618,"AMSTUTZ, Guillermo",AMSTUTZ, Guillermo,-,Justicialista,Mendoza,167,11,3,32,-
A4579,https://votaciones.hcdn.gob.ar/diputado/619,"ANAUATE, Carlos Alfredo",ANAUATE, Carlos Alfredo,-,Mov. de Bases Independientes,Santiago del Estero,3,1,-,114,-
A32,https://votaciones.hcdn.gob.ar/diputado/620,"ANCARANI, Hilda Norma",ANCARANI, Hilda Norma,-,Justicialista,Buenos Aires,-,-,-,1,-
A51189,https://votaciones.hcdn.gob.ar/diputado/1768,"ANGELINI, Federico",ANGELINI, Federico,En actividad,PRO,Santa Fe,2,25,-,-,-
A51049,https://votaciones.hcdn.gob.ar/diputado/1627,"ANSALONI, Pablo Miguel",ANSALONI, Pablo Miguel,En actividad,Unidad y Equidad Federal,Buenos Aires,150,58,-,32,-
G229,https://votaciones.hcdn.gob.ar/diputado/1413,"ANTELO, José María",ANTELO, José María,-,Demócrata Progresista,Santa Fe,37,27,12,34,-
A51167,https://votaciones.hcdn.gob.ar/diputado/1748,"APARICIO, Alicia Noemi",APARICIO, Alicia Noemi,En actividad,Frente de Todos,Buenos Aires,27,-,-,-,-
A50682,https://votaciones.hcdn.gob.ar/diputado/316,"ARAGON, Santiago",ARAGON, Santiago,-,Frente para la Victoria - PJ,Buenos Aires,14,-,-,-,-
G231,https://votaciones.hcdn.gob.ar/diputado/1415,"ARAGONES de JUAREZ, Mercedes",ARAGONES de JUAREZ, Mercedes,-,Justicialista,Santiago del Estero,40,11,-,144,-
G357,https://votaciones.hcdn.gob.ar/diputado/1544,"ARAMBURU, Guillermo Raul",ARAMBURU, Guillermo Raul,-,Unión Cívica Radical,Santa Fe,39,30,1,30,-
G16,https://votaciones.hcdn.gob.ar/diputado/1200,"ARANDA, Saturnino Dantti",ARANDA, Saturnino Dantti,-,Justicialista,Santa Fe,78,13,-,20,-
A4607,https://votaciones.hcdn.gob.ar/diputado/63,"ARBO, José Ameghino",ARBO, José Ameghino,-,Liberal de Corrientes,Corrientes,122,61,12,171,-
A51037,https://votaciones.hcdn.gob.ar/diputado/1622,"ARCE, Mario Horacio",ARCE, Mario Horacio,En actividad,Unión Cívica Radical,Formosa,147,86,-,7,-
A4576,https://votaciones.hcdn.gob.ar/diputado/621,"ARDID, Mario Rolando",ARDID, Mario Rolando,-,Partido Nuevo Contra la Corrupción,Córdoba,248,68,12,98,-
A4827,https://votaciones.hcdn.gob.ar/diputado/506,"ARENA, Celia Isabel",ARENA, Celia Isabel,-,Frente para la Victoria - PJ,Santa Fe,287,10,2,26,-
A50859,https://votaciones.hcdn.gob.ar/diputado/429,"ARENAS, Berta Hortensia",ARENAS, Berta Hortensia,-,Compromiso Federal,San Luis,292,61,18,120,-
A4673,https://votaciones.hcdn.gob.ar/diputado/407,"ARETA, María Josefa",ARETA, María Josefa,-,Frente de Todos,Corrientes,199,32,6,129,-
A4317,https://votaciones.hcdn.gob.ar/diputado/622,"ARGÜELLO, Jorge",ARGÜELLO, Jorge,-,Frente para la Victoria - PJ,C.A.B.A.,452,31,17,181,-
A4693,https://votaciones.hcdn.gob.ar/diputado/193,"ARGÜELLO, Octavio",ARGÜELLO, Octavio,-,Frente para la Victoria - PJ,Buenos Aires,258,18,2,88,-
A2950,https://votaciones.hcdn.gob.ar/diputado/623,"ARGUL, Marta del Carmen",ARGUL, Marta del Carmen,-,MO.RE.CI,Jujuy,86,41,7,31,-
A4808,https://votaciones.hcdn.gob.ar/diputado/344,"ARGUMEDO, Alcira Susana",ARGUMEDO, Alcira Susana,-,Proyecto Sur,C.A.B.A.,369,231,53,163,-
G17,https://votaciones.hcdn.gob.ar/diputado/1201,"ARIAS, Cesar",ARIAS, Cesar,-,Justicialista,Buenos Aires,138,30,5,38,-
G131,https://votaciones.hcdn.gob.ar/diputado/1315,"ARMENDARIZ, Alejandro",ARMENDARIZ, Alejandro,-,U. Ce. De.,Capital Federal,45,31,2,33,-
A66,https://votaciones.hcdn.gob.ar/diputado/624,"ARNALDI, Monica Susana",ARNALDI, Monica Susana,-,Justicialista,Buenos Aires,77,52,-,36,-
A4318,https://votaciones.hcdn.gob.ar/diputado/625,"ARNOLD, Eduardo Ariel",ARNOLD, Eduardo Ariel,-,No Integra Bloque,Santa Cruz,285,16,9,388,-
G132,https://votaciones.hcdn.gob.ar/diputado/1316,"ARRECHEA, José Salvador",ARRECHEA, José Salvador,-,U. Ce. De.,Capital Federal,74,11,3,23,-
A50676,https://votaciones.hcdn.gob.ar/diputado/368,"ARREGUI, Andrés Roberto",ARREGUI, Andrés Roberto,-,Frente para la Victoria - PJ,Buenos Aires,379,6,2,22,-
A4518,https://votaciones.hcdn.gob.ar/diputado/626,"ARRIAGA, Julio Esteban",ARRIAGA, Julio Esteban,-,Unión Peronista,Rio Negro,551,57,2,222,-
A50986,https://votaciones.hcdn.gob.ar/diputado/238,"ARRIETA, Gustavo Héctor",ARRIETA, Gustavo Héctor,-,Frente para la Victoria - PJ,Buenos Aires,77,91,2,137,-
A51073,https://votaciones.hcdn.gob.ar/diputado/1648,"ARROYO, Daniel Fernando",ARROYO, Daniel Fernando,-,Frente de Todos,Buenos Aires,152,41,11,9,-
A4319,https://votaciones.hcdn.gob.ar/diputado/627,"ARTOLA, Isabel Amanda",ARTOLA, Isabel Amanda,-,Frente para la Victoria - PJ,Buenos Aires,389,53,14,137,-
A51190,https://votaciones.hcdn.gob.ar/diputado/1769,"ASCARATE, Lidia",ASCARATE, Lidia,En actividad,Unión Cívica Radical,Tucumán,2,25,-,-,-
A4834,https://votaciones.hcdn.gob.ar/diputado/245,"ASEF, Daniel Edgardo",ASEF, Daniel Edgardo,-,Nucleo Unidad Peronista,Córdoba,66,3,-,28,-
A51136,https://votaciones.hcdn.gob.ar/diputado/1716,"ASENCIO, Fernando",ASENCIO, Fernando,-,Red por Argentina,Buenos Aires,71,26,4,27,-
A4745,https://votaciones.hcdn.gob.ar/diputado/150,"ASPIAZU, Lucio Bernardo",ASPIAZU, Lucio Bernardo,-,Unión Cívica Radical,Corrientes,90,61,1,173,-
A50693,https://votaciones.hcdn.gob.ar/diputado/3,"ASSEFF, Alberto Emilio",ASSEFF, Alberto Emilio,En actividad,PRO,Buenos Aires,47,71,24,294,-
A1795,https://votaciones.hcdn.gob.ar/diputado/48,"ATANASOF, Alfredo Néstor",ATANASOF, Alfredo Néstor,-,Frente Peronista,Buenos Aires,552,146,17,492,-
G417,https://votaciones.hcdn.gob.ar/diputado/1708,"AUAD, Oscar Said",AUAD, Oscar Said,-,Fuerza Republicana,Tucumán,1,8,1,-,-
G358,https://votaciones.hcdn.gob.ar/diputado/1545,"AUBIA, Jorge Eduardo",AUBIA, Jorge Eduardo,-,Unión Cívica Radical,Chubut,13,6,-,14,-
A4531,https://votaciones.hcdn.gob.ar/diputado/628,"AUGSBURGER, Silvia",AUGSBURGER, Silvia,-,Partido Socialista,Santa Fe,493,164,26,149,-
A51025,https://votaciones.hcdn.gob.ar/diputado/594,"AUSTIN, Brenda Lis",AUSTIN, Brenda Lis,En actividad,Unión Cívica Radical,Córdoba,405,115,5,17,-
G7,https://votaciones.hcdn.gob.ar/diputado/1191,"AVALOS ROBLES, Edmundo Eduardo",AVALOS ROBLES, Edmundo Eduardo,-,Justicialista,Tucumán,2,11,1,1,-
G359,https://votaciones.hcdn.gob.ar/diputado/1546,"AVELIN de GINESTAR, Nancy B.",AVELIN de GINESTAR, Nancy B.,-,Cruzada Renovadora,San Juan,8,13,-,12,-
A51047,https://votaciones.hcdn.gob.ar/diputado/1626,"ÁVILA, Beatriz Luisa",ÁVILA, Beatriz Luisa,En actividad,Partido por la Justicia Social,Tucumán,108,57,-,75,-
G360,https://votaciones.hcdn.gob.ar/diputado/1547,"AVILA, Eduardo Carlos",AVILA, Eduardo Carlos,-,Justicialista,Santiago del Estero,52,17,1,30,-
A50743,https://votaciones.hcdn.gob.ar/diputado/188,"AVOSCAN, Herman Horacio",AVOSCAN, Herman Horacio,-,Frente para la Victoria - PJ,Rio Negro,389,7,2,11,-
A51040,https://votaciones.hcdn.gob.ar/diputado/1612,"AYALA, Aida Beatriz Máxima",AYALA, Aida Beatriz Máxima,En actividad,Unión Cívica Radical,Chaco,97,27,-,116,-
A35,https://votaciones.hcdn.gob.ar/diputado/629,"AYALA, Juan Carlos",AYALA, Juan Carlos,-,Justicialista,Chaco,75,49,-,65,-
G292,https://votaciones.hcdn.gob.ar/diputado/1476,"AYALA, Susana Beatriz",AYALA, Susana Beatriz,-,Justicialista,Chaco,83,12,-,11,-
G232,https://votaciones.hcdn.gob.ar/diputado/1416,"AYETZ, Liliana",AYETZ, Liliana,-,MODIN,Buenos Aires,41,39,7,77,-
A4461,https://votaciones.hcdn.gob.ar/diputado/630,"AZCOITI, Pedro José",AZCOITI, Pedro José,-,Unión Cívica Radical,Buenos Aires,347,181,19,285,-
A4009,https://votaciones.hcdn.gob.ar/diputado/631,"BAGLINI, Raúl Eduardo",BAGLINI, Raúl Eduardo,-,Unión Cívica Radical,Mendoza,67,17,3,11,-
A51116,https://votaciones.hcdn.gob.ar/diputado/1690,"BAHILLO, Juanjo",BAHILLO, Juanjo,-,Frente de Todos,Entre Ríos,190,14,4,5,-
A4320,https://votaciones.hcdn.gob.ar/diputado/632,"BAIGORRI, Guillermo Francisco",BAIGORRI, Guillermo Francisco,-,Vida y Compromiso,San Juan,437,55,45,161,-
A4075,https://votaciones.hcdn.gob.ar/diputado/633,"BAIGORRIA, Miguel Angel",BAIGORRIA, Miguel Angel,-,Justicialista,Tierra del Fuego,170,21,6,16,-
A3059,https://votaciones.hcdn.gob.ar/diputado/634,"BALADRON, Manuel Justo",BALADRON, Manuel Justo,-,Frente para la Victoria - PJ,La Pampa,752,100,23,287,-
A50951,https://votaciones.hcdn.gob.ar/diputado/445,"BALBO, Elva Susana",BALBO, Elva Susana,-,PRO,Mendoza,266,61,2,57,-
A50684,https://votaciones.hcdn.gob.ar/diputado/403,"BALCEDO, María Ester",BALCEDO, María Ester,-,Frente para la Victoria - PJ,Buenos Aires,373,7,-,29,-
A50820,https://votaciones.hcdn.gob.ar/diputado/241,"BALDASSI, Héctor Walter",BALDASSI, Héctor Walter,En actividad,PRO,Córdoba,432,179,16,104,-
A4630,https://votaciones.hcdn.gob.ar/diputado/417,"BALDATA, Griselda Angela",BALDATA, Griselda Angela,-,Coalición Cívica - ARI - UNEN,Córdoba,144,93,7,122,-
A1792,https://votaciones.hcdn.gob.ar/diputado/635,"BALESTRA, René Helvecio",BALESTRA, René Helvecio,-,Unión Cívica Radical,Santa Fe,103,70,6,49,-
A4437,https://votaciones.hcdn.gob.ar/diputado/636,"BALESTRINI, Alberto",BALESTRINI, Alberto,-,Frente para la Victoria - PJ,Buenos Aires,77,15,2,230,353
G133,https://votaciones.hcdn.gob.ar/diputado/1317,"BALESTRINI, Miguel Alberto",BALESTRINI, Miguel Alberto,-,U. Ce. De.,Capital Federal,87,13,3,75,-
